sentiment,content
worry,big zongzi lunch eat work eat w h useless
hate,sososo bum like bum hate rain ruin date
hate,work late night dell notebook dell quality go hill warrenty service suck poor people buy mac instead
surprise,wow hurt way bad think
worry,thought sense sober
neutral,know right hopefully come
worry,not sleep tomorrow wake early
worry,body develop mind mind refuse co operate set schedule
neutral,suppose sun private jet mite hav stay bymyself thnk god week amp want bruno
sadness,trash repop get tomorrow night suppose
worry,nursing bruise motorbike crash wednesday night leave london workplace ground hard old
worry,bored headache
neutral,huge headache goodnight
sadness,feel like crap lay hate heartburn amp backache
sadness,miss lonely
sadness,noice realise exam week forget week unit term thing
neutral,justwatche like straight episode escape d discovery channel guy imprison woman kill cook
sadness,miss
neutral,point
hate,pork product fuck stop import dubai bad time
worry,build fail right big scheme thing
worry,wife take mcdonald breakfast today
love,wish go love sound
sadness,sisser move tomorrow make sad actually guess technically couple hour friday
worry,fall asleep suppose awake miss babyy
neutral,
worry,way nottingham want go
surprise,churchill down tomorrow
neutral,chicago ride call
neutral,k goodnight get to chuck e cheese tomorrow follow kindergarten shot physical bla
worry,need wake early actually tired fall asleep
surprise,bahh police end party start
neutral,get catch bus work
sadness,sad
surprise,omg see ring creppy ass movie
surprise,mannnn get iphone m jealous
love,funny u not show love
neutral,absolutely nothin
love,luv ur admit niley kiss change mind haha amp demi sterling jemi cute
neutral,make feel well lose overnight cause post picture baby
sadness,sick sigh
worry,oh poor beth friend naughty unperfect
surprise,josh call big bucket ugly wish luck audition tweet
sadness,feel weird
surprise,try self learn photoshop go
worry,see tv dead like die grim reaper take people soul accident
neutral,sorry think hope week get well
worry,steam punlk fashion anime north year torcon til amp miss
sadness,throat hurts go to read bed text mee
worry,die hangout friday afternoon
worry,eh cold
neutral,mannnn get iphone m jealous
sadness,fjdskal m frustrated
neutral,aww youtube
sadness,wonder come mcdonald long deliver food
surprise,ya weather super weird look like go to rain today course darnitt
sadness,injustice imagine bad get well afraid doubt sorry
neutral,miss nostalgia kick tushar
sadness,sooo kind sick n tired bs guy dish
worry,class color day tomorrow time lot remember tomorrow bet forget
sadness,idk lol head hurt rly bad amp stomach hmm personally think s ve deal wit
worry,expensive
hate,wtf facebook clear survey q night get well well
neutral,say good bad afternoon
neutral,say get number get
worry,miss twitastic fwiend
worry,advice lookin phone cost relationship
fun,play street fighter iv seth rape
hate,weird guy house like
surprise,fuck waste deodorant be not goin be not havin company let funk ya
neutral,wish know curse tumblr
sadness,beautiful day shame get spend office
neutral,business exam tomorrow
worry,oh know budgeting
sadness,finish watch series return chaser war crap compare
sadness,wow realize check twitter see list good get lot bad news know day go
sadness,miss bestfriend leave school
surprise,ouch earphone shock
sadness,tummy hurt
neutral,grimsby suck bein amazin wknd
sadness,farewelle employee tonight
neutral,haha ve get curse friend like tai lol
worry,gorgeous weather bike
sadness,morning water heating pack bath want bath
sadness,girl confusing
sadness,
love,u comin city u comin
sadness,blackout city good
neutral,aww maybe traumatize
happiness,flight book plus birthday miss especially miss
hate,live small market deliver day old bread food bank time tough
worry,drunk hickup pretty lay great night help mad situation
worry,think medicine cuz laugh hard head pain think laughter gud
neutral,ugh happen today need hug
enthusiasm,boring wanna taekwando
enthusiasm,watch leno second time tonight
neutral,ur pic go
worry,tongue hurt need sleep
neutral,twitter
sadness,chris stay glasgow instead cause absolutely accomodation edinburgh marathon
love,wait till sunday new episode supernatural episode leave
neutral,awww ok lol hopefully m state
sadness,sad tweet sad
worry,need little lie feel great today boo
neutral,workplace short sleeve shirt absolutely necessary today
sadness,decide stand alltop spam long
worry,anal sex forget lube damn need
worry,playn madden austin m go miss
sadness,miss rich
sadness,headache century feel fuck
sadness,disappoint know get silver award want gold award hate second well
worry,livechat saturday cus school
worry,want bed child look sleep sunday enevitable hangover require
worry,get mad tired sex sleepytime night
boredom,twitter shit bore c y month
neutral,know convert est aus time rofl xd fuck radio disney
sadness,home ice cream tweet tweet pic camera battery die night forgot charge
neutral,ok subtly say long fave temme thing firang steal vocab ur eat word
worry,bye scotty go to miss
worry,new comment jowki wish time blog
worry,temporary tattoo totally sad die
worry,gray feel neglected
worry,oh know feel damn representative bank america try sound like b
worry,tired cold runny
sadness,dun wanna travel way lunch yeah nice place miss shan e punjab
hate,mass cleanout room rearrange send mother buy bin bookshelf suck bad mood
sadness,rob get lucky game beat
hate,feel sick watch fifth element smoke cigg ugh hate cold
surprise,bah think fb fan page
worry,save not want pack anymore
sadness,home school shit day today
love,sweety sit table morning wake sweet oh btw think home pm xxx
worry,bruise knee hard skate tomorrow
sadness,lol go buy new laptop feb know lol look walk away sadfaced
neutral,fyi internet thurstag saturday feeling productive day
sadness,sit take good seat
worry,free wifi vacay ruin
sadness,ahhhhh
love,maatt not speak age dudeee not forget bout ur aussie fan lool love ya xx
sadness,oh wait wrong state
surprise,fucking cold north like df yesterday
happiness,u miss ur frnd hear quot degree movie amazing nanbargale miss u guy
worry,try sleep pill work wide awake late sleep til pm
worry,phone die soon oh
sadness,sorry mean
worry,forget power cable home today
surprise,dog eye bad fork new washing machine vet bill eh
worry,sleep find grandmother quilt locket sick cause lose steal
worry,think go pic clean car
worry,want m say wanna exception
worry,amazing thing keep online conversation place unfortunately place google
sadness,sorry spanish moment
worry,yayyyyyyyyyyy s sp far away
fun,clear dvr getting rid tomorrw
hate,bum f f f break
neutral,sign account political website post comment work
neutral,come sleep past good
worry,public talk july get cancel know
neutral,like mile gas price crazy m alpine summer def
worry,feel rough today want cuddle sleep
happiness,oh economy gotcha sorry happy get la enjoy socal ahahaay lol
worry,song site want computer
sadness,flu pass unto andy go shop get fresh chicken chicken soup sit sad panda
neutral,exam sleep hour night
sadness,
sadness,oh hell way tell
neutral,wish live atleast relatively close ohio see year
sadness,oh crap
happiness,carlie come fall asleep
neutral,short time clue
neutral,phone not tweet
neutral,good idea brain twitter
sadness,not msg buy princess
love,try learn thing welcome follower m interesting
neutral,check library website girl dragon tattoo check
surprise,lol ik figure keep need virus software fix sigh
worry,puppy go new home
sadness,unhappy hate affect relationship people personality attitude
sadness,right tired want sleep clean pretty good proud good janitor
worry,feel extremally ill
sadness,oh m offend ha
relief,work try relax min get to sleep
hate,yes good laught poor lad ask mum amp dad kill
neutral,work
worry,tony poor tony
neutral,song site want computer
worry,time wish teenager wish feel healthy remember like feel healthy anymore
sadness,version sell regular version
worry,ur anymore think
sadness,love lunch like say miss friend
happiness,friend m deeply sorry move miss u
surprise,bestie need
neutral,oooo ok not accept friend request
worry,damn listen
neutral,get home kill possum
worry,omg yaya end year
worry,miss old healthy loose faith
fun,hell yeah miss u nite lol u like opinion
worry,go to try catch z high school tomorrow suck wish didn
neutral,
worry,rawr whatnot have godawful drawing night tonight progress expect
happiness,suuure
neutral,yahoo map lot desire yahoo
worry,miss daily quote anymore kick mailinglist
sadness,aches amp chill join party cold away bad
worry,will b hereeeeee imma b georgia la grrrrrr
worry,ohh sorry s pic bad
worry,miss train sec yesterdaynight knijp jaap amp flashback sit blister know mean
worry,upppp lol work hour
sadness,bed stomach ache
worry,be not answer think homie
worry,gnite fukn nite want sum pinga
neutral,facebook quiz cure boredom haha tooth mouth hurt
sadness,lappy charger completely dead conserve leave battery afford buy new
sadness,finally accept fact cute guy take
surprise,summer glau appear dollhouse year believe will renew tscc
worry,finally watch rest guild season feel sorry hopeful time char
neutral,get think attribute seizure induce color light movie soloist
hate,access site
love,heart ache child wanna adopt alexis
love,lunch go home rest today
neutral,goodnight
sadness,bad vo get sick think amp med feel like
neutral,
enthusiasm,day jay leno que sad
worry,speak keith urban record company till holiday sorry jack try mate
worry,summer glau appear dollhouse year believe will renew tscc
sadness,honza take flight czech republic morning go miss
boredom,actually manage purchase ovi store constant server error check
worry,s thought goldfish fair see year
worry,sad thing
happiness,ah s well snow patrol stick indoor weekend come fresh air excellent hope sunny
enthusiasm,good morning sexy twitter you gd like n wanna sleep
